index,LOCATION,SUBJECT,MEASURE,TIME,Value
121,CAN,WHEAT,TONNE_HA,2003,2.256458955
2609,URY,WHEAT,TONNE_HA,2007,2.821862459
19710,CHL,SOYBEAN,TONNE_HA,2023,1.139910177
16305,NZL,SOYBEAN,THND_TONNE,1997,0.0001
9934,IRN,WHEAT,THND_TONNE,1997,10045.0
953,CHN,WHEAT,TONNE_HA,2007,4.607647232
18116,JPN,MAIZE,TONNE_HA,2008,2.75862069
7333,ARG,WHEAT,THND_TONNE,1999,15300.0
6292,MOZ,RICE,THND_TONNE,1997,120.1
10953,SAU,SOYBEAN,THND_TONNE,2011,0.0009
15977,UKR,MAIZE,THND_HA,2013,4824.999877
1270,IND,RICE,TONNE_HA,2000,1.900613904
16333,NZL,SOYBEAN,THND_TONNE,2025,0.0001
1691,MOZ,WHEAT,TONNE_HA,2025,1.234933201
17843,KAZ,MAIZE,THND_HA,2023,143.2080997
10329,MEX,SOYBEAN,THND_TONNE,1996,56.074
20460,OECD,MAIZE,TONNE_HA,2015,8.760025979
10507,SSA,MAIZE,TONNE_HA,1994,1.0837854
17759,RUS,MAIZE,THND_HA,2011,1716.065
16830,ETH,MAIZE,THND_TONNE,2018,7445.756168
2974,BRICS,RICE,TONNE_HA,1994,2.720305407
19984,BRICS,SOYBEAN,TONNE_HA,2009,1.979141603
6909,URY,WHEAT,THND_HA,2002,137.0000039
4680,MEX,RICE,THND_HA,1997,113.492
20340,EU28,MAIZE,THND_HA,2021,9725.308162
17519,VNM,MAIZE,THND_HA,2023,1186.074734
1208,GHA,RICE,TONNE_HA,2010,1.627814531
6108,NOR,RICE,THND_TONNE,1993,0.0
18718,SAU,SOYBEAN,TONNE_HA,1998,1.0
12436,TUR,MAIZE,THND_TONNE,2023,6702.907465
1090,EGY,WHEAT,TONNE_HA,2000,6.342029095
3120,NOR,WHEAT,TONNE_HA,1997,4.338983051
11118,NOR,SOYBEAN,TONNE_HA,1996,0.0
5225,KOR,WHEAT,THND_HA,2010,12.548
14739,CHL,MAIZE,THND_TONNE,1995,942.0
1533,KAZ,WHEAT,TONNE_HA,2011,1.639107466
5034,ETH,RICE,THND_HA,1999,5.500000252
1411,IRN,RICE,TONNE_HA,1997,2.629662514
7278,IND,RICE,THND_HA,2016,43118.28898
2614,URY,WHEAT,TONNE_HA,2012,2.183111191
2636,VNM,RICE,TONNE_HA,1998,2.640280008
15209,SDN,SOYBEAN,TONNE_HA,2001,1.0
5996,SDN,WHEAT,THND_HA,2025,261.5361579
2664,VNM,WHEAT,TONNE_HA,1990,0.0009
9560,CHL,WHEAT,THND_TONNE,2014,1358.13
14410,HTI,WHEAT,TONNE_HA,2021,0.000982667
6239,NGA,RICE,THND_HA,2016,2575.429668
6810,TZA,RICE,THND_TONNE,2011,1461.395
19357,HTI,SOYBEAN,THND_HA,2025,0.000892383
14438,BRA,MAIZE,THND_HA,2013,15317.432
11170,MEX,SOYBEAN,THND_HA,2012,142.32928
7585,NGA,RICE,THND_TONNE,1999,1966.2
13015,BGD,SOYBEAN,THND_TONNE,1994,0.0009
4894,EU28,WHEAT,THND_TONNE,2000,132413.676
9270,SSA,WHEAT,THND_HA,2011,2133.563874
19278,PER,SOYBEAN,THND_HA,2018,2.207915448
13890,NGA,SOYBEAN,TONNE_HA,2005,0.96031746
11872,DZA,MAIZE,THND_TONNE,1999,0.0009
1767,PAK,RICE,TONNE_HA,1993,1.826840401
14020,TZA,SOYBEAN,THND_HA,1991,5.599999905
8546,THA,RICE,THND_HA,1999,9969.999718
5148,IND,RICE,THND_TONNE,2005,91789.92
11266,MOZ,SOYBEAN,TONNE_HA,2000,1.0
11082,USA,MAIZE,THND_TONNE,1996,234523.965
9745,IND,WHEAT,THND_HA,2019,30085.55377
17486,VNM,MAIZE,THND_HA,1990,431.9999902
20103,ZAF,SOYBEAN,TONNE_HA,2020,1.809642063
12076,BRICS,MAIZE,TONNE_HA,2023,5.765090768
10859,RUS,SOYBEAN,THND_TONNE,2025,3493.361614
9542,CHL,WHEAT,THND_TONNE,1996,1227.0
19294,MOZ,MAIZE,THND_HA,1998,1248.000002
10498,PAK,SOYBEAN,THND_TONNE,2021,6.012831272
20055,ARG,MAIZE,TONNE_HA,2008,6.452813599
1002,COL,RICE,TONNE_HA,2020,2.829079623
9165,UKR,WHEAT,THND_TONNE,2014,24114.0
14969,BRA,MAIZE,THND_TONNE,2009,50719.822
12146,KOR,SOYBEAN,TONNE_HA,2021,2.054197769
8291,HTI,RICE,THND_HA,1991,49.99999925
4730,CHN,RICE,THND_TONNE,2011,137685.68
6074,BGD,RICE,THND_TONNE,1995,17686.9
17621,AUS,SOYBEAN,THND_TONNE,2017,82.27159048
10665,CAN,MAIZE,TONNE_HA,2011,8.931199874
19779,CHN,SOYBEAN,THND_HA,2020,6649.946177
14221,DZA,SOYBEAN,THND_TONNE,2012,0.0009
2146,SAU,RICE,TONNE_HA,2012,0.0009
16041,ISR,WHEAT,TONNE_HA,2005,2.680000067
2662,VNM,RICE,TONNE_HA,2024,4.515135187
10182,KAZ,SOYBEAN,TONNE_HA,1993,1.126923144
8147,HTI,WHEAT,THND_HA,1991,1.000000017
3194,CHE,WHEAT,TONNE_HA,1999,5.382978723
15811,JPN,SOYBEAN,TONNE_HA,1991,1.399147727
2953,OECD,WHEAT,TONNE_HA,2009,3.490261153
13805,IND,MAIZE,TONNE_HA,1992,1.675666571
11848,COL,MAIZE,THND_TONNE,2011,1681.3
4245,MEX,RICE,THND_TONNE,1991,190.0
2310,SDN,WHEAT,TONNE_HA,1996,1.951367736
8840,PRY,WHEAT,THND_HA,2013,539.9999863
12787,PER,MAIZE,THND_TONNE,2018,1923.740805
11144,NOR,SOYBEAN,TONNE_HA,2022,0.0
15474,CHE,SOYBEAN,THND_HA,2014,1.545
3795,ISR,RICE,THND_TONNE,2005,0.0009
7671,GHA,WHEAT,THND_HA,2013,1.000000017
1280,IND,RICE,TONNE_HA,2010,2.239261866
15404,PER,SOYBEAN,THND_TONNE,2016,5.007837657
14932,IND,MAIZE,THND_HA,2008,8174.000104
5115,MOZ,WHEAT,THND_HA,2008,2.0
17704,PER,SOYBEAN,TONNE_HA,1992,1.632203462
14433,BRA,MAIZE,THND_HA,2008,14444.582
4828,BRA,RICE,THND_HA,2001,3142.826
7569,KAZ,RICE,THND_TONNE,2019,288.5073737
10811,MYS,MAIZE,TONNE_HA,2013,2.755249977
19126,THA,SOYBEAN,THND_HA,2010,175.0
222,KOR,RICE,TONNE_HA,1996,5.071632195
3545,SAU,RICE,THND_TONNE,2007,0.0009
17722,PER,SOYBEAN,TONNE_HA,2010,2.272727223
2442,THA,RICE,TONNE_HA,2020,2.388073733
20465,OECD,MAIZE,TONNE_HA,2020,9.074255824
7304,COL,WHEAT,THND_HA,2006,17.00000038
1972,PER,WHEAT,TONNE_HA,2018,1.587570337
1570,MYS,RICE,TONNE_HA,2012,2.447122812
2281,SDN,RICE,TONNE_HA,2003,3.377500057
9693,CAN,WHEAT,THND_TONNE,2003,23048.6
2021,PHL,WHEAT,TONNE_HA,1995,0.0009
18545,TZA,MAIZE,THND_HA,2005,3101.000011
8478,IRN,RICE,THND_HA,2003,615.2999981
9246,SAU,WHEAT,THND_TONNE,2023,0.022495893
19194,URY,SOYBEAN,THND_HA,2006,300.0
2556,URY,RICE,TONNE_HA,1990,3.078313351
8845,PRY,WHEAT,THND_HA,2018,490.8479578
19017,USA,SOYBEAN,THND_TONNE,2009,91418.544
3344,IRN,WHEAT,THND_HA,2018,6084.80639
902,CHN,RICE,TONNE_HA,1992,3.91706139
11988,ETH,SOYBEAN,TONNE_HA,2007,3.571428571
181,JPN,WHEAT,TONNE_HA,1991,3.179723502
13644,BRICS,MAIZE,THND_HA,2011,60115.95689
16067,NGA,MAIZE,THND_HA,1995,5471.999759
1853,PRY,RICE,TONNE_HA,2007,2.197674513
11551,SAU,MAIZE,TONNE_HA,2002,10.0
10612,WLD,MAIZE,THND_HA,1994,142793.966
17389,TUR,SOYBEAN,TONNE_HA,2001,2.25
5466,NZL,WHEAT,THND_TONNE,1999,325.1638425
1458,IRN,WHEAT,TONNE_HA,2008,1.166499972
14280,IDN,MAIZE,THND_TONNE,1999,9204.0
15040,BGD,MAIZE,TONNE_HA,2008,3.260384083
19401,PHL,MAIZE,THND_HA,2002,2394.999921
15593,SSA,MAIZE,THND_TONNE,2025,71080.14109
1926,PER,RICE,TONNE_HA,2008,5.002422333
19566,COL,SOYBEAN,THND_TONNE,2023,76.70868493
7609,NGA,RICE,THND_TONNE,2023,3207.6007
18761,MEX,SOYBEAN,TONNE_HA,2005,1.946847016
3656,MOZ,WHEAT,THND_TONNE,2010,10.0
7149,GHA,RICE,THND_TONNE,1990,52.65
6779,AUS,WHEAT,THND_HA,2016,13890.12845
7356,ARG,WHEAT,THND_TONNE,2022,13372.82658
18860,PRY,SOYBEAN,TONNE_HA,1996,2.948964155
12644,ARG,MAIZE,THND_TONNE,2019,35608.80101
18645,TUR,SOYBEAN,THND_HA,1997,29.99999911
15703,KAZ,MAIZE,TONNE_HA,1991,3.553733826
11342,PRY,SOYBEAN,THND_HA,2004,1970.0
20192,BRA,SOYBEAN,TONNE_HA,2001,2.710546347
18315,MYS,SOYBEAN,TONNE_HA,1991,0.333333346
10206,KAZ,SOYBEAN,TONNE_HA,2017,1.951979863
14853,RUS,SOYBEAN,THND_HA,2001,417.0
8824,PRY,WHEAT,THND_HA,1997,201.0000065
7222,JPN,WHEAT,THND_HA,1996,158.5
14587,CHL,SOYBEAN,THND_HA,2018,0.000907431
17210,GHA,MAIZE,TONNE_HA,2002,2.153846264
3999,SSA,RICE,THND_TONNE,1997,7003.5189
16016,ZMB,MAIZE,TONNE_HA,2016,2.5
10378,MYS,MAIZE,THND_HA,2009,26.0000007
12105,BGD,SOYBEAN,THND_HA,2016,37.646299
2086,RUS,RICE,TONNE_HA,2024,3.660664608
15858,GHA,SOYBEAN,THND_TONNE,2002,0.0009
17825,KAZ,MAIZE,THND_HA,2005,101.9999946
11497,JPN,MAIZE,THND_HA,2020,0.061283522
2589,URY,RICE,TONNE_HA,2023,6.500310737
5394,RUS,RICE,THND_HA,1999,172.7
6664,SDN,RICE,THND_TONNE,2009,24.01
16261,IND,MAIZE,THND_TONNE,2009,16720.0
18568,IND,SOYBEAN,TONNE_HA,1992,0.775654959
5163,IND,RICE,THND_TONNE,2020,118480.0795
4254,MEX,RICE,THND_TONNE,2000,249.526
19011,USA,SOYBEAN,THND_TONNE,2003,66788.064
12699,BRA,MAIZE,TONNE_HA,2002,3.055942433
19725,ISR,MAIZE,THND_TONNE,2002,6.0
20291,EU28,MAIZE,TONNE_HA,2005,7.010331737
4229,SSA,RICE,THND_HA,2011,9787.415104
20205,BRA,SOYBEAN,TONNE_HA,2014,2.880221841
884,CHL,WHEAT,TONNE_HA,2010,5.623616219
1039,COL,WHEAT,TONNE_HA,2021,0.848045605
15126,CAN,SOYBEAN,THND_HA,2022,2335.58808
6706,IDN,WHEAT,THND_TONNE,2015,0.0009
2445,THA,RICE,TONNE_HA,2023,2.459759081
15804,ARG,SOYBEAN,TONNE_HA,2020,2.986003873
7810,MYS,WHEAT,THND_HA,2008,1.000000017
7542,KAZ,RICE,THND_TONNE,1992,311.5
19423,PHL,MAIZE,THND_HA,2024,2557.633751
6132,NOR,RICE,THND_TONNE,2017,0.0
9332,NZL,RICE,THND_HA,2002,0.0
2095,RUS,WHEAT,TONNE_HA,1997,1.841595837
3857,BGD,RICE,THND_HA,1995,9941.000011
18778,MEX,SOYBEAN,TONNE_HA,2022,1.990317172
14521,DZA,MAIZE,TONNE_HA,2024,0.001044832
3477,ZAF,RICE,THND_TONNE,2011,2.001
1010,COL,WHEAT,TONNE_HA,1992,1.744186044
7945,PER,WHEAT,THND_TONNE,2000,188.0
14611,CHE,MAIZE,THND_TONNE,2006,152.0
19066,AUS,SOYBEAN,THND_HA,2022,41.87659973
5980,SDN,WHEAT,THND_HA,2009,235.0000051
8565,THA,RICE,THND_HA,2018,9909.597421
7298,COL,WHEAT,THND_HA,2000,19.99999974
934,CHN,RICE,TONNE_HA,2024,4.80488677
7167,GHA,RICE,THND_TONNE,2008,181.14
11192,EGY,MAIZE,THND_TONNE,1998,6337.0
18857,PRY,SOYBEAN,TONNE_HA,1993,2.587157536
1343,IDN,RICE,TONNE_HA,2001,2.764385223
8182,CAN,WHEAT,THND_HA,1990,14097.5
359,MEX,WHEAT,TONNE_HA,2025,5.351183606
6068,GHA,RICE,THND_HA,2025,240.1355389
18916,NZL,MAIZE,THND_TONNE,2016,210.4301738
959,CHN,WHEAT,TONNE_HA,2013,5.055603931
19795,DZA,MAIZE,THND_HA,2000,1.000000017
1148,ETH,RICE,TONNE_HA,2022,2.060346779
2954,OECD,WHEAT,TONNE_HA,2010,3.587806258
2051,PHL,WHEAT,TONNE_HA,2025,0.001030696
18256,JPN,SOYBEAN,THND_TONNE,2004,163.2
2054,RUS,RICE,TONNE_HA,1992,1.97188755
12367,CHL,SOYBEAN,THND_TONNE,1990,0.0009
10373,MYS,MAIZE,THND_HA,2004,24.0
15081,GHA,SOYBEAN,THND_HA,2013,0.0009
14265,ETH,SOYBEAN,THND_TONNE,2020,25.45940971
5019,WLD,RICE,THND_HA,2020,160950.8316
4743,CHN,RICE,THND_TONNE,2024,144416.2516
13166,GHA,SOYBEAN,TONNE_HA,2001,1.0
4978,ISR,WHEAT,THND_TONNE,2012,183.0
9022,IDN,RICE,THND_HA,2015,13979.99994
18928,USA,MAIZE,TONNE_HA,1992,8.250576094
15698,NZL,MAIZE,THND_HA,2022,19.34472588
11287,MOZ,SOYBEAN,TONNE_HA,2021,0.000900557
5999,CAN,RICE,THND_HA,1992,0.0
10909,COL,MAIZE,THND_HA,2003,588.000009
8769,JPN,RICE,THND_HA,2011,1576.0
17936,SAU,SOYBEAN,THND_HA,2008,0.0009
19463,KOR,SOYBEAN,THND_TONNE,1992,175.925
3608,RUS,RICE,THND_TONNE,1998,274.914722
8781,JPN,RICE,THND_HA,2023,1475.659331
7582,NGA,RICE,THND_TONNE,1996,1873.2
4819,BRA,RICE,THND_HA,1992,4614.4
13061,MYS,SOYBEAN,THND_HA,2004,0.003
9992,JPN,RICE,THND_TONNE,2019,7538.592361
17884,NOR,MAIZE,THND_HA,1992,1.0
14738,CHL,MAIZE,THND_TONNE,1994,937.0
17265,IND,SOYBEAN,THND_HA,2021,12641.18883
9392,CHE,WHEAT,THND_HA,1990,100.0
16090,NGA,MAIZE,THND_HA,2018,4341.207086
10992,PRY,SOYBEAN,THND_TONNE,2014,8600.0
17546,IDN,MAIZE,THND_HA,2014,3836.999934
17933,SAU,SOYBEAN,THND_HA,2005,0.0009
2394,TZA,WHEAT,TONNE_HA,2008,1.004629612
16543,UKR,MAIZE,TONNE_HA,2019,6.046776293
8665,OECD,WHEAT,THND_TONNE,2015,288775.4408
5031,ETH,RICE,THND_HA,1996,1.000000017
13423,ISR,RICE,TONNE_HA,2006,0.0009
17002,IRN,MAIZE,THND_HA,2010,214.0000044
13402,RUS,SOYBEAN,TONNE_HA,2021,1.391443333
8973,HTI,RICE,THND_TONNE,2002,71.369
13855,NOR,MAIZE,TONNE_HA,2006,1.0
7293,COL,WHEAT,THND_HA,1995,35.00000011
18584,IND,SOYBEAN,TONNE_HA,2008,0.914893617
7517,HTI,WHEAT,THND_TONNE,2003,0.0009
3537,SAU,RICE,THND_TONNE,1999,0.0009
14248,ETH,SOYBEAN,THND_TONNE,2003,25.0
14136,EGY,SOYBEAN,THND_HA,1999,3.867000103
2746,ZMB,WHEAT,TONNE_HA,2000,6.210151672
102,CAN,RICE,TONNE_HA,2020,0.0
10901,COL,MAIZE,THND_HA,1995,656.0000221
1661,MOZ,WHEAT,TONNE_HA,1995,1.0
13309,ZMB,SOYBEAN,TONNE_HA,2000,0.587499976
8223,TUR,WHEAT,THND_TONNE,1995,18015.0
18861,PRY,SOYBEAN,TONNE_HA,1997,2.629730206
18387,NGA,MAIZE,THND_TONNE,1991,5810.0
14946,IND,MAIZE,THND_HA,2022,8696.801432
18246,JPN,SOYBEAN,THND_TONNE,1994,99.0
17497,VNM,MAIZE,THND_HA,2001,726.9999826
1694,NGA,RICE,TONNE_HA,1992,1.175480723
4822,BRA,RICE,THND_HA,1995,4267.9
10127,VNM,WHEAT,THND_HA,2010,1.000000017
16257,IND,MAIZE,THND_TONNE,2005,14709.9
518,USA,WHEAT,TONNE_HA,2004,2.90259524
7513,HTI,WHEAT,THND_TONNE,1999,0.0009
7307,COL,WHEAT,THND_HA,2009,21.0000004
19675,TUR,SOYBEAN,THND_TONNE,2024,203.7321707
17872,KAZ,MAIZE,THND_TONNE,2016,777.2472049
2358,TZA,RICE,TONNE_HA,2008,1.02490139
5293,EGY,WHEAT,THND_TONNE,2006,8274.0
937,CHN,WHEAT,TONNE_HA,1991,3.100361897
13810,IND,MAIZE,TONNE_HA,1997,1.711121678
8358,IND,WHEAT,THND_TONNE,2022,98398.8808
13497,SSA,MAIZE,THND_HA,2008,26631.06287
2134,SAU,RICE,TONNE_HA,2000,0.0009
8813,EU28,RICE,THND_HA,2022,412.8775315
18101,JPN,MAIZE,TONNE_HA,1993,2.5
7877,EGY,RICE,THND_TONNE,2003,4261.647
9492,KAZ,RICE,THND_HA,2018,100.5117358
10242,SSA,SOYBEAN,THND_TONNE,2017,1199.221611
3119,NOR,WHEAT,TONNE_HA,1996,4.508474576
15571,SSA,MAIZE,THND_TONNE,2003,29121.2055
15167,WLD,MAIZE,THND_TONNE,1995,513259.7446
1210,GHA,RICE,TONNE_HA,2012,1.522955179
11770,CHN,SOYBEAN,THND_TONNE,2005,16350.0
1085,EGY,WHEAT,TONNE_HA,1995,5.423696518
14171,TZA,SOYBEAN,TONNE_HA,1998,0.357142863
11736,CHL,MAIZE,THND_HA,2007,125.9999953
5900,BGD,WHEAT,THND_HA,2001,772.9999988
9754,TUR,RICE,THND_TONNE,1992,129.0
10904,COL,MAIZE,THND_HA,1998,455.0000108
4936,DZA,RICE,THND_TONNE,2006,0.7
14666,ETH,MAIZE,TONNE_HA,1994,1.057947874
13218,SSA,SOYBEAN,TONNE_HA,2017,0.719940332
4935,DZA,RICE,THND_TONNE,2005,0.7
3379,EU28,RICE,THND_TONNE,2021,1742.592723
1318,IND,WHEAT,TONNE_HA,2012,3.177495003
1769,PAK,RICE,TONNE_HA,1995,1.834412575
11603,THA,SOYBEAN,TONNE_HA,2018,0.31796114
9412,CHE,WHEAT,THND_HA,2010,90.0
8395,URY,RICE,THND_HA,1992,127.2999997
12365,CHE,SOYBEAN,THND_TONNE,2024,3.882
3562,SAU,RICE,THND_TONNE,2024,0.001141219
130,CAN,WHEAT,TONNE_HA,2012,2.864579714
8931,BRICS,WHEAT,THND_HA,1996,80252.00466
6480,SDN,WHEAT,THND_TONNE,2005,416.0
12840,IRN,SOYBEAN,THND_TONNE,1999,80.43900299
6977,PAK,WHEAT,THND_HA,1998,8355.000286
18596,IND,SOYBEAN,TONNE_HA,2020,0.807649838
13973,NZL,SOYBEAN,TONNE_HA,2016,0.0
1825,PAK,WHEAT,TONNE_HA,2015,2.775599241
13523,CAN,MAIZE,THND_TONNE,1998,8952.4
17550,IDN,MAIZE,THND_HA,2018,3926.671038
12621,ARG,MAIZE,THND_TONNE,1996,10518.0
13535,CAN,MAIZE,THND_TONNE,2010,12043.3
18417,NGA,MAIZE,THND_TONNE,2021,12675.16684
11152,MEX,SOYBEAN,THND_HA,1994,288.499
19783,CHN,SOYBEAN,THND_HA,2024,6838.138142
9072,USA,RICE,THND_HA,1993,1146.478271
17066,PHL,SOYBEAN,THND_HA,2002,1.299999952
2216,ZAF,RICE,TONNE_HA,2010,2.000999928
2995,BRICS,RICE,TONNE_HA,2015,3.35364875
18069,AUS,SOYBEAN,TONNE_HA,1997,1.6875
9136,PRY,WHEAT,THND_TONNE,2021,941.66418
11540,SAU,MAIZE,TONNE_HA,1991,2.5
4641,MYS,RICE,THND_TONNE,1994,1379.0
5144,IND,RICE,THND_TONNE,2001,93338.0
19881,BGD,MAIZE,THND_HA,2014,369.9999965
5714,TZA,RICE,THND_HA,1995,477.9999935
6808,TZA,RICE,THND_TONNE,2009,867.62
3940,ETH,WHEAT,THND_HA,2006,1460.000004
15180,WLD,MAIZE,THND_TONNE,2008,829089.7556
17816,KAZ,MAIZE,THND_HA,1996,73.0000025
16865,DZA,SOYBEAN,TONNE_HA,2017,1.039143538
6242,NGA,RICE,THND_HA,2019,2653.850437
16065,NGA,MAIZE,THND_HA,1993,5308.999837
3223,EU28,RICE,TONNE_HA,1996,3.849553049
9707,CAN,WHEAT,THND_TONNE,2017,29670.09045
9477,KAZ,RICE,THND_HA,2003,81.90000171
14808,ISR,SOYBEAN,TONNE_HA,1992,1.0
449,TUR,WHEAT,TONNE_HA,2007,2.128179789
2264,ZAF,WHEAT,TONNE_HA,2022,3.466266694
16215,SDN,SOYBEAN,THND_HA,1999,0.0009
12104,BGD,SOYBEAN,THND_HA,2015,44.08430584
17360,ZAF,MAIZE,THND_TONNE,2008,13164.069
19217,SDN,MAIZE,THND_TONNE,1993,2.0
15690,NZL,MAIZE,THND_HA,2014,19.5
18763,MEX,SOYBEAN,TONNE_HA,2007,1.41213311
535,USA,WHEAT,TONNE_HA,2021,3.207878544
11290,MOZ,SOYBEAN,TONNE_HA,2024,0.000899509
9452,BRICS,WHEAT,THND_TONNE,2014,291396.767
1836,PRY,RICE,TONNE_HA,1990,1.770588279
11928,ARG,MAIZE,THND_HA,2019,6437.40589
9002,IDN,RICE,THND_HA,1995,11437.99986
13259,VNM,SOYBEAN,TONNE_HA,2022,1.40235581
13100,JPN,MAIZE,THND_TONNE,2007,0.155
4634,NOR,RICE,THND_HA,2023,0.0
1890,PRY,WHEAT,TONNE_HA,2008,2.100393772
6463,UKR,RICE,THND_HA,2024,12.39621081
6631,DZA,WHEAT,THND_TONNE,2012,3400.0
1688,MOZ,WHEAT,TONNE_HA,2022,1.182684644
5849,NOR,WHEAT,THND_HA,2022,88.0
12399,CHL,SOYBEAN,THND_TONNE,2022,0.001026371
11243,IDN,MAIZE,TONNE_HA,2013,4.844144821
13885,NGA,SOYBEAN,TONNE_HA,2000,0.840077071
2449,THA,WHEAT,TONNE_HA,1991,0.0009
13398,RUS,SOYBEAN,TONNE_HA,2017,1.342917559
12791,PER,MAIZE,THND_TONNE,2022,2058.657918
5589,NGA,WHEAT,THND_TONNE,2014,70.0
454,TUR,WHEAT,TONNE_HA,2012,2.669322729
18339,MYS,SOYBEAN,TONNE_HA,2015,0.333333346
18741,SAU,SOYBEAN,TONNE_HA,2021,0.0009222
13646,BRICS,MAIZE,THND_HA,2013,65876.95354
3852,BGD,RICE,THND_HA,1990,10432.99978
182,JPN,WHEAT,TONNE_HA,1992,3.538461538
17584,BGD,MAIZE,THND_TONNE,2016,2613.192314
19614,COL,MAIZE,TONNE_HA,1999,1.774491668
5597,NGA,WHEAT,THND_TONNE,2022,79.43980533
13826,IND,MAIZE,TONNE_HA,2013,2.831796408
19998,BRICS,SOYBEAN,TONNE_HA,2023,2.51192968
99,CAN,RICE,TONNE_HA,2017,0.0
4902,EU28,WHEAT,THND_TONNE,2008,151454.5
17121,THA,MAIZE,THND_TONNE,2021,5104.491502
18748,MEX,SOYBEAN,TONNE_HA,1992,1.838763542
18565,TZA,MAIZE,THND_HA,2025,3598.770327
2764,ZMB,WHEAT,TONNE_HA,2018,6.923780667
833,CHL,RICE,TONNE_HA,1995,2.891176462
1707,NGA,RICE,TONNE_HA,2005,0.790285707
254,KOR,WHEAT,TONNE_HA,1992,3.365853659
13617,NGA,SOYBEAN,THND_HA,2020,654.1557169
6527,EGY,RICE,THND_HA,2016,607.2498011
1302,IND,WHEAT,TONNE_HA,1996,2.482787609
6876,PER,WHEAT,THND_HA,2005,132.7999997
13974,NZL,SOYBEAN,TONNE_HA,2017,0.0
8369,WLD,WHEAT,THND_TONNE,2002,576328.5684
19954,GHA,MAIZE,THND_TONNE,2015,1462.0
5601,RUS,WHEAT,THND_TONNE,1990,49596.16
4744,CHN,RICE,THND_TONNE,2025,145151.8238
3930,ETH,WHEAT,THND_HA,1996,818.9999789
9376,SAU,RICE,THND_HA,2010,1.000000017
933,CHN,RICE,TONNE_HA,2023,4.78555378
10743,MYS,SOYBEAN,THND_TONNE,2017,0.001021976
10513,SSA,MAIZE,TONNE_HA,2000,1.248978089
6220,NGA,RICE,THND_HA,1997,2047.999949
7578,NGA,RICE,THND_TONNE,1992,1956.0
7046,PHL,RICE,THND_HA,1995,3918.000042
2009,PHL,RICE,TONNE_HA,2019,2.780512612
12203,BRA,SOYBEAN,THND_TONNE,2006,52464.64
6756,AUS,WHEAT,THND_HA,1993,8383.2
2874,SSA,WHEAT,TONNE_HA,1993,1.248837395
8242,TUR,WHEAT,THND_TONNE,2014,19000.0
